Credit_Creation_Month,MOB,OVER_30
2024-02-29,15,0.0941
2024-02-29,16,0.0929
2024-02-29,17,0.091
2024-02-29,18,0.09
2024-03-31,2,0.0576
2024-03-31,3,0.0666
2024-03-31,4,0.068
2024-03-31,5,0.0686
2024-03-31,6,0.0686
2024-03-31,7,0.0683
2024-03-31,8,0.0671
2024-03-31,9,0.065
2024-03-31,10,0.0628
2024-03-31,11,0.0612
2024-03-31,12,0.0591
2024-03-31,13,0.058
2024-03-31,14,0.0571
2024-03-31,15,0.0563
2024-03-31,16,0.055
2024-03-31,17,0.0543
2024-03-31,18,0.0535
2024-04-30,2,0.0552
2024-04-30,3,0.061
2024-04-30,4,0.0621
2024-04-30,5,0.0621
2024-04-30,6,0.0612
2024-04-30,7,0.0594
2024-04-30,8,0.0568
2024-04-30,9,0.0544
2024-04-30,10,0.0526
2024-04-30,11,0.0506
2024-04-30,12,0.0495
2024-04-30,13,0.0487
2024-04-30,14,0.048
2024-04-30,15,0.0468
2024-04-30,16,0.0461
2024-04-30,17,0.0454
2024-04-30,18,0.0445
2024-05-31,2,0.0525
2024-05-31,3,0.06
2024-05-31,4,0.0621
2024-05-31,5,0.0622
2024-05-31,6,0.0607
2024-05-31,7,0.0584
2024-05-31,8,0.056
2024-05-31,9,0.0542
2024-05-31,10,0.0522
2024-05-31,11,0.0511
2024-05-31,12,0.0504
2024-05-31,13,0.0496
2024-05-31,14,0.0485
2024-05-31,15,0.0479
2024-05-31,16,0.047
2024-05-31,17,0.046
2024-05-31,18,0.0428
2024-06-30,2,0.0555
2024-06-30,3,0.068
2024-06-30,4,0.0734
2024-06-30,5,0.0755
2024-06-30,6,0.0754
2024-06-30,7,0.0744
2024-06-30,8,0.0737
2024-06-30,9,0.0724
2024-06-30,10,0.0717
2024-06-30,11,0.0711
2024-06-30,12,0.0704
2024-06-30,13,0.0689
2024-06-30,14,0.068
2024-06-30,15,0.0669
2024-06-30,16,0.0655
2024-06-30,17,0.061
2024-06-30,18,0.0574
2024-07-31,2,0.0671
2024-07-31,3,0.0853
2024-07-31,4,0.0966
2024-07-31,5,0.1028
2024-07-31,6,0.1073
2024-07-31,7,0.1109
2024-07-31,8,0.1125
2024-07-31,9,0.1138
2024-07-31,10,0.1145
2024-07-31,11,0.1141
2024-07-31,12,0.1125
2024-07-31,13,0.1111
2024-07-31,14,0.1093
2024-07-31,15,0.1072
2024-07-31,16,0.0994
2024-07-31,17,0.0932
2024-07-31,18,0.0916
2024-08-31,2,0.0626
2024-08-31,3,0.0726
2024-08-31,4,0.075
2024-08-31,5,0.0754
2024-08-31,6,0.0747
2024-08-31,7,0.0726
2024-08-31,8,0.0715
2024-08-31,9,0.0707
2024-08-31,10,0.0698
2024-08-31,11,0.0685
2024-08-31,12,0.0676
2024-08-31,13,0.0664
2024-08-31,14,0.0649
2024-08-31,15,0.0596
2024-08-31,16,0.0557
2024-08-31,17,0.0547
